0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,11,0,0,0,2,0,0
5,17,0,0,0,2,0,0
5,15,0,3,0,2,0,0
0,0,0,0,0,2,0,0
4,0,0,0,8,2,8,0
2,11,0,27,11,12,14,0
0,16,0,8,0,16,0,0
0,0,0,0,0,2,0,0
0,0,0,0,2,2,0,0
0,9,0,0,6,7,0,0
0,4,0,0,0,4,4,0
